iter	RMSE
0	4.440185256e-13
1	4.4249646e-13
2	4.409931992e-13
3	4.395085519e-13
4	4.380423279e-13
5	4.365943383e-13
6	4.351643956e-13
7	4.337523133e-13
8	4.323579062e-13
9	4.309809904e-13
10	4.29621383e-13
11	4.282789027e-13
12	4.269533692e-13
13	4.256446033e-13
14	4.243524274e-13
15	4.230766648e-13
16	4.218171402e-13
17	4.205736796e-13
18	4.193461099e-13
19	4.181342597e-13
20	4.169379584e-13
21	4.157570369e-13
22	4.145913273e-13
23	4.134406628e-13
24	4.123048781e-13
25	4.111838088e-13
26	4.10077292e-13
27	4.089851659e-13
28	4.079072699e-13
29	4.068434448e-13
30	4.057935325e-13
31	4.047573762e-13
32	4.037348202e-13
33	4.027257103e-13
34	4.017298932e-13
35	4.007472171e-13
36	3.997775312e-13
37	3.988206862e-13
38	3.978765338e-13
39	3.969449271e-13
40	3.960257202e-13
41	3.951187687e-13
42	3.942239291e-13
43	3.933410595e-13
44	3.924700189e-13
45	3.916106677e-13
46	3.907628675e-13
47	3.899264809e-13
48	3.89101372e-13
49	3.88287406e-13
50	3.874844492e-13
51	3.866923693e-13
52	3.859110351e-13
53	3.851403165e-13
54	3.843800847e-13
55	3.836302122e-13
56	3.828905726e-13
57	3.821610404e-13
58	3.814414918e-13
59	3.807318038e-13
60	3.800318548e-13
61	3.793415241e-13
62	3.786606924e-13
63	3.779892415e-13
64	3.773270544e-13
65	3.766740151e-13
66	3.760300089e-13
67	3.753949223e-13
68	3.747686427e-13
69	3.741510587e-13
70	3.735420603e-13
71	3.729415384e-13
72	3.723493849e-13
73	3.717654931e-13
74	3.711897571e-13
75	3.706220725e-13
76	3.700623356e-13
77	3.69510444e-13
78	3.689662964e-13
79	3.684297925e-13
80	3.679008331e-13
81	3.6737932e-13
82	3.668651563e-13
83	3.663582458e-13
84	3.658584937e-13
85	3.653658059e-13
86	3.648800897e-13
87	3.644012532e-13
88	3.639292055e-13
89	3.634638568e-13
90	3.630051184e-13
91	3.625529024e-13
92	3.62107122e-13
93	3.616676914e-13
94	3.612345258e-13
95	3.608075414e-13
